word,parsing
은으로,은(은/NNG/*);으로(으로/JKB/*)
실어요,실(싣/VV/*);어요(어요/EF/*)
열대야일,열대야(열대/NNG/*+야/NNG/*);일(이/VCP/*+ㄹ/ETM/*)
한파일,한파(한파/NNG/*);일(이/VCP/*+ㄹ/ETM/*)
잠가요,잠가(잠그/VV/*+아/EC/*);요(요/EF/*)
싶은데,싶(싶/VA/*);은데(은데/EC/*)
기억이,기억(기억/NNG/*);이(이/JKS/*)
누군가한테,누군가(누군가/NP/*);한테(한테/JKB/*)
아나요,아(알/VV/*);나요(나요/EF/*)
해주세요,해(하/XSV/*+아/EC/*);주(주/VX/*);세요(시/EP/*+ㅓ요/EF/*)
곰손이야,곰손이(곰손/NNG/*);야(이/VCP/*+야/EF/*)
곰손이다,곰손이(곰손/NNG/*);야(이/VCP/*+다/EC/*)
탄도,탄(탄/NNB/*);도(도/JX/*)
화인,화(화/NNB/*);인(이/VCP/*+ㄴ/ETM/*)
화고,화(화/NNB/*);인(이/VCP/*+고/EC/*)
봄이잖아요,봄(봄/NNG/*);이(이/VCP/*);잖아요(잖/UNA/*+아요/EF/*)
사와줘,사(사/VV/*+아/EC/*);와(오/VX/*+아/EC/*);줘(주/VX/*+어/EC/*)
이번주도,이번(이/NNG/*+번/NNG/*);주(주/NNG/*);도(도/JX/*)
내려보냈습니다,내려(내리/VV/*+어/EC/*);보냈(보내/VV/*+었/EP/*);습니다(습니다/EF/*)
해가,해(해/NNG/*);가(가/JKS/*)
부는데,부(불/VV/*);는데(는데/EC/*)
서재는,서재(서재/NNG/*);는(는/JX/*)
중요하대요,중요(중요/NNG/*);하(하/XSA/*);대요(대요/EF/*)
것이,것(것/NNB/*);이(이/JKS/*)
생각하는구나,생각(생각/NNG/*);하(하/XSV/*);는구나(는구나/EF/*)
싶은가요,싶(싶/VA/*);은가요(은가요/EF/*)
외워와,외워(외우/VV/*+어/EC/*);와(오/VX/*+아/EC/*)
놀라요,놀라(놀라/VV/*+아/EC/*);요(요/EF/*)
어린아이일,어린아이(어린/NNG/*+아이/NNG/*);일(이/VCP/*+ㄹ/ETM/*)
떠보면,떠(뜨/VV/*+어/EC/*);보(보/VX/*);면(면/EC/*)
공항철도,공항(공항/NNG/*);철(철/NNG/*);도(도/JX/*)
그만하렴,그만(그만/XR/*);하(하/XSV/*);렴(렴/EF/*)
달리기를,달리(달리/VV/*);기(기/ETN/*);를(를/JKO/*)
가로질러서,가로질러서(가로지르/VV/*+어서/EC/*)
생각나요,생각(생각/NNG/*);나(나/XSV/*+ㅏ/EC/*);요(요/EF/*)
고속도로는,고(고속도로/NNG/*);는(는/JX/*)
물으시자,물(묻/VV/*);으시(으시/EP/*);자(자/EC/*)
멈춰서서,멈춰서(멈추/VV/*+어/EC/*+서/VV/*);서(서/EC/*)
낳을,낳(낳/VV/*);을(을/ETM/*)
약하나,약하(약하/VV/*);나(나/EC/*)
찬송하여라,찬송(찬송/NNG/*);하(하/XSV/*);여라(여라/EC/*)
말한,말(말/NNG/*);한(하/XSV/*+ㄴ/ETM/*)
